"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
18181,6/30/2025 0:00:00,9573,0,0,0,0,0,0,69582140,0,0,0,0,0,0,0,61392475,0,0,0,0,0,0,0,0,0,1300000,0,0,0,0,1748402,0,0,2889643,141898850,0,0,0,0,6286190,30,42,4,0,0,0,8,5,5,14,22,40,62,4,2,9,6,10,72,1402,1402,0,0,0,15,0,15,2811
18192,6/30/2025 0:00:00,9580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,86
18195,6/30/2025 0:00:00,9582,0,0,0,0,0,0,67627371,0,0,0,0,0,0,0,11845065,0,0,0,0,0,0,0,0,0,72086,0,0,0,0,2758677,0,0,0,90613525,0,0,0,0,8382412,66,43,0,0,0,0,6,19,18,2,46,21,67,20,22,22,0,42,109,92,2351,0,0,0,0,0,0,180
18204,6/30/2025 0:00:00,9587,0,0,0,0,0,0,11556867,0,0,0,0,0,0,0,5748171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693199,0,0,0,20693882,0,0,0,0,2695645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,840,0,0,0,0,0,0,1969
18218,6/30/2025 0:00:00,9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
18234,6/30/2025 0:00:00,9602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18238,6/30/2025 0:00:00,9605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18242,6/30/2025 0:00:00,9607,0,0,0,0,0,0,866311,0,0,0,0,0,0,0,7274883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73744,9253783,0,0,0,0,1038845,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,136,122,0,0,0,0,0,0,46
18254,6/30/2025 0:00:00,9613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
18271,6/30/2025 0:00:00,9619,0,0,0,0,0,0,16924436,0,0,0,0,0,0,0,14861464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841728,0,0,3389857,42669780,0,0,0,0,6652295,7,18,0,0,0,0,2,0,0,16,2,18,20,5,0,0,2,5,25,300,846,0,0,0,0,0,0,700
