FI Type Name,FI Group Name,FI Industry Name,Company Name,Canadian Trade Company Name,Representative Name,Title,Address Line 1,Address Line 2,City,Province State,Postal ZIP Code,Authorized Insurance Classes
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,United Overseas Bank Limited,United Overseas Bank Limited,Robert  Dyck,Country Manager,2400-650 WEST GEORGIA STREET,,VANCOUVER,British Columbia,V6B 4N9,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association, Canadian Branch",Frances Jeahnette Cavaliere,Principal Officer,22 ADELAIDE STREET WEST,SUITE 2200,TORONTO,Ontario,M5H 4E3,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Lending,Crédit Agricole Corporate and Investment Bank,Crédit Agricole Corporate and Investment Bank (Canada Branch),Ghislain Marc Antoine Descamps,Senior Country Officer,300-700 BOUL. RENE-LEVESQUE WEST,,MONTREAL,Quebec,H3B 1X8,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Lending,Natixis,Natixis Canada Branch,Michael  Costakos,Principal Officer,2811-1800 MCGILL COLLEGE,,MONTREAL,Quebec,H3A 3J6,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Amex Bank of Canada,,Brett  Mooney,Chief Executive Officer,2225 SHEPPARD AVENUE EAST,SUITE 100,Toronto,Ontario,M2J 5C2,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Bank of China (Canada),,Jun  Deng,Chief Executive Officer,600-50 MINTHORN BLVD,,MARKHAM,Ontario,L3T 7X8,
Federally Regulated Financial Institutions,Banks,Foreign Banks,CTBC Bank Corp. (Canada),,Shu-Hung  Lu,President & Chief Executive Officer,350-2608 GRANVILLE ST.,,VANCOUVER,British Columbia,V6H 3V3,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Cidel Bank Canada,,Craig  Rimer,Chief Executive Officer,60 BLOOR ST W,9TH FLOOR,TORONTO,Ontario,M4W 3B8,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Citco Bank Canada,,Scott  Case,Chief Executive Officer,20 TORONTO STREET,SUITE 10,TORONTO,Ontario,M5C 2B8,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Citibank Canada,,Raymond  Gatcliffe,Citi Country Officer and Banking Head of Canada,19TH FLOOR,123 FRONT ST W,Toronto,Ontario,M5J 2M3,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Habib Canadian Bank,,Muslim  Hassan,Chief Executive Officer,6450 KITIMAT ROAD,,MISSISSAUGA,Ontario,L5N 2B8,
Federally Regulated Financial Institutions,Banks,Foreign Banks,ICICI Bank Canada,,Himadar  Maddipatla,Chief Executive Officer,366 BAY STREET,,TORONTO,Ontario,M5H 4B2,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Industrial and Commercial Bank of China (Canada),,Yuan  Lu,Acting Chief Executive Officer,"333 Bay Street, Unit 3710",Bay Adelaide Centre,Toronto,Ontario,M5H 2R2,
Federally Regulated Financial Institutions,Banks,Foreign Banks,J.P. Morgan Bank Canada,,David  Rawlings,Chief Executive Officer,"TD BANK TOWER, SUITE 4500",66 WELLINGTON ST. W.,TORONTO,Ontario,M5K 1E7,
Federally Regulated Financial Institutions,Banks,Foreign Banks,KEB Hana Bank Canada,,Young Jun  Kim,President & CEO,4950 YONGE STREET,SUITE 1101,TORONTO,Ontario,M2N 6K1,
Federally Regulated Financial Institutions,Banks,Foreign Banks,SBI Canada Bank,,Manish  Mishra,President & CEO,SUITE NO. 1000,220 BAY STREET,TORONTO,Ontario,M5J 2W4,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Santander Consumer Bank,,Tracy  Graf,Chief Executive Officer,"200, 4245 – 97 Street NW",,Edmonton,Alberta,T6E 5Y7,
Federally Regulated Financial Institutions,Banks,Foreign Banks,Shinhan Bank Canada,,Chong Ho  Park,Chief Executive Officer,5140 Yonge Street,Suite 2300,Toronto,Ontario,M2N 6L7,
Federally Regulated Financial Institutions,Banks,Foreign Banks,UBS Bank (Canada),,Shona  Stone,President & CEO,154 University Avenue,Suite 800,Toronto,Ontario,M5H 3Z4,
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Canadian Fraternal Benefit Societies,ACTRA Fraternal Benefit Society,,Ron P. Zammit,Chief Executive Officer,1000 Yonge Street,,Toronto,Ontario,M4W 2K2,Life; Accident and sickness. All classes of insurance are limited to the extent authorized by its instrument of incorporation and by-laws.
