name,url,abbreviation,source
University of Warwick,https://www.warwick.ac.uk,,uk:edu
UWE Bristol,https://www.uwe.ac.uk,,uk:edu
The University of Westminster,https://www.westminster.ac.uk,,uk:edu
University of York,https://www.york.ac.uk,,uk:edu
Heart of Yorkshire Education Group,https://www.heartofyorkshire.ac.uk,,uk:edu
Waverley Abbey College,https://www.waverleyabbeycollege.ac.uk,,uk:edu
West Herts College,https://www.westherts.ac.uk,,uk:edu
West Suffolk College,https://www.wsc.ac.uk,,uk:edu
University Centre Weston,https://www.weston.ac.uk,,uk:edu
Weymouth and Kingston Maurward College,https://www.weymouth.ac.uk,,uk:edu
Wigan and Leigh College,https://www.wigan-leigh.ac.uk,,uk:edu
Wiltshire College and University Centre,https://www.wiltshire.ac.uk,,uk:edu
Wirral Metropolitan College,https://www.wmc.ac.uk,,uk:edu
City of Wolverhampton College,https://www.wolvcoll.ac.uk,,uk:edu
Xaverian College,https://www.xaverian.ac.uk,,uk:edu
Yeovil College,https://www.yeovil.ac.uk,,uk:edu
York College,https://www.yorkcollege.ac.uk/,,uk:edu
York St John University,https://www.yorksj.ac.uk,,uk:edu
Aston University,https://www.aston.ac.uk,,uk:edu
"Birkbeck, University of London",https://www.bbk.ac.uk,,uk:edu
Courtauld Institute of Art,https://www.courtauld.ac.uk,,uk:edu
Glasgow Caledonian University,https://www.gcu.ac.uk,,uk:edu
Heriot-Watt University,https://www.hw.ac.uk,,uk:edu
Keele University,https://www.keele.ac.uk,,uk:edu
Edinburgh Napier University,https://www.napier.ac.uk,,uk:edu
Oxford University,https://www.ox.ac.uk,,uk:edu
Queen Mary University of London,https://www.qmul.ac.uk,,uk:edu
Roehampton University,https://www.roehampton.ac.uk,,uk:edu
Royal College of Music,https://www.rcm.ac.uk,,uk:edu
The Royal Veterinary College,https://www.rvc.ac.uk,,uk:edu
SOAS University of London,https://www.soas.ac.uk,,uk:edu
University of Aberdeen,https://www.abdn.ac.uk,,uk:edu
UCL,https://www.ucl.ac.uk,,uk:edu
The University of Bradford,https://www.bradford.ac.uk,,uk:edu
University of Bristol,https://www.bristol.ac.uk,,uk:edu
University of Buckingham,https://www.buckingham.ac.uk,,uk:edu
University of Cambridge,https://www.cam.ac.uk,,uk:edu
University of East Anglia,https://www.uea.ac.uk,,uk:edu
University of Edinburgh,https://www.ed.ac.uk,,uk:edu
The University of Essex,https://www.essex.ac.uk,,uk:edu
